,Unnamed: 0,product_category_name,product_category_name_english
0,0.0,beleza_saude,health_beauty
1,1.0,informatica_acessorios,computers_accessories
2,2.0,automotivo,auto
3,3.0,cama_mesa_banho,bed_bath_table
4,4.0,moveis_decoracao,furniture_decor
5,5.0,esporte_lazer,sports_leisure
6,6.0,perfumaria,perfumery
7,7.0,utilidades_domesticas,housewares
8,8.0,telefonia,telephony
9,9.0,relogios_presentes,watches_gifts
10,10.0,alimentos_bebidas,food_drink
11,11.0,bebes,baby
12,12.0,papelaria,stationery
13,13.0,tablets_impressao_imagem,tablets_printing_image
14,14.0,brinquedos,toys
15,15.0,telefonia_fixa,fixed_telephony
16,16.0,ferramentas_jardim,garden_tools
17,17.0,fashion_bolsas_e_acessorios,fashion_bags_accessories
18,18.0,eletroportateis,small_appliances
19,19.0,consoles_games,consoles_games
20,20.0,audio,audio
21,21.0,fashion_calcados,fashion_shoes
22,22.0,cool_stuff,cool_stuff
23,23.0,malas_acessorios,luggage_accessories
24,24.0,climatizacao,air_conditioning
25,25.0,construcao_ferramentas_construcao,construction_tools_construction
26,26.0,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
27,27.0,construcao_ferramentas_jardim,costruction_tools_garden
28,28.0,fashion_roupa_masculina,fashion_male_clothing
29,29.0,pet_shop,pet_shop
30,30.0,moveis_escritorio,office_furniture
31,31.0,market_place,market_place
32,32.0,eletronicos,electronics
33,33.0,eletrodomesticos,home_appliances
34,34.0,artigos_de_festas,party_supplies
35,35.0,casa_conforto,home_confort
36,36.0,construcao_ferramentas_ferramentas,costruction_tools_tools
37,37.0,agro_industria_e_comercio,agro_industry_and_commerce
38,38.0,moveis_colchao_e_estofado,furniture_mattress_and_upholstery
39,39.0,livros_tecnicos,books_technical
40,40.0,casa_construcao,home_construction
41,41.0,instrumentos_musicais,musical_instruments
42,42.0,moveis_sala,furniture_living_room
43,43.0,construcao_ferramentas_iluminacao,construction_tools_lights
44,44.0,industria_comercio_e_negocios,industry_commerce_and_business
45,45.0,alimentos,food
46,46.0,artes,art
47,47.0,moveis_quarto,furniture_bedroom
48,48.0,livros_interesse_geral,books_general_interest
49,49.0,construcao_ferramentas_seguranca,construction_tools_safety
50,50.0,fashion_underwear_e_moda_praia,fashion_underwear_beach
51,51.0,fashion_esporte,fashion_sport
52,52.0,sinalizacao_e_seguranca,signaling_and_security
53,53.0,pcs,computers
54,54.0,artigos_de_natal,christmas_supplies
55,55.0,fashion_roupa_feminina,fashio_female_clothing
56,56.0,eletrodomesticos_2,home_appliances_2
57,57.0,livros_importados,books_imported
58,58.0,bebidas,drinks
59,59.0,cine_foto,cine_photo
60,60.0,la_cuisine,la_cuisine
61,61.0,musica,music
62,62.0,casa_conforto_2,home_comfort_2
63,63.0,portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
64,64.0,cds_dvds_musicais,cds_dvds_musicals
65,65.0,dvds_blu_ray,dvds_blu_ray
66,66.0,flores,flowers
67,67.0,artes_e_artesanato,arts_and_craftmanship
68,68.0,fraldas_higiene,diapers_and_hygiene
69,69.0,fashion_roupa_infanto_juvenil,fashion_childrens_clothes
70,70.0,seguros_e_servicos,security_and_services
71,71.0,portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_food_preparers
72,,portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_food_preparers
